location_id,parent_location_id,location_code,location_name,location_type,is_active,depth,location_path,location_path_name,campus,building,floor,room,org_unit_id,org_unit_name,college,department
8cb15f60-208d-4890-a1e1-733ee551c835,,MAIN,Main Campus,campus,t,1,MAIN,Main Campus,Main Campus,,,,d52b79be-c2d1-4095-83c4-ba22b0b20ef9,Main Campus,,
e5af376e-e289-46e9-89ef-56eaefb911a9,8cb15f60-208d-4890-a1e1-733ee551c835,BLD-A,Engineering Building,building,t,2,MAIN/BLD-A,Main Campus > Engineering Building,Main Campus,Engineering Building,,,6fae8d38-5d36-4971-bb0e-c2b1b6f880b1,Faculty of Engineering,Faculty of Engineering,
80ff2b98-628f-42d9-b675-40e5a7091649,8cb15f60-208d-4890-a1e1-733ee551c835,BLD-B,AI and Data Science Building,building,t,2,MAIN/BLD-B,Main Campus > AI and Data Science Building,Main Campus,AI and Data Science Building,,,faf0affc-ea1d-41f0-97e6-c0f136acfb12,Faculty of AI and Data Management,Faculty of AI and Data Management,
2041f5ec-1292-4695-ba05-6467bedfc759,8cb15f60-208d-4890-a1e1-733ee551c835,BLD-C,Administration Building,building,t,2,MAIN/BLD-C,Main Campus > Administration Building,Main Campus,Administration Building,,,d52b79be-c2d1-4095-83c4-ba22b0b20ef9,Main Campus,,
c70933ce-e053-4ffe-8e0d-97ab5eaf8dae,e5af376e-e289-46e9-89ef-56eaefb911a9,BLD-A-F1,Engineering Building - Floor 1,floor,t,3,MAIN/BLD-A/BLD-A-F1,Main Campus > Engineering Building > Engineering Building - Floor 1,Main Campus,Engineering Building,Engineering Building - Floor 1,,6fae8d38-5d36-4971-bb0e-c2b1b6f880b1,Faculty of Engineering,Faculty of Engineering,
8e34a5cf-6a71-44a7-9a49-78f0d5bfccd0,80ff2b98-628f-42d9-b675-40e5a7091649,BLD-B-F1,AI and Data Science Building - Floor 1,floor,t,3,MAIN/BLD-B/BLD-B-F1,Main Campus > AI and Data Science Building > AI and Data Science Building - Floor 1,Main Campus,AI and Data Science Building,AI and Data Science Building - Floor 1,,faf0affc-ea1d-41f0-97e6-c0f136acfb12,Faculty of AI and Data Management,Faculty of AI and Data Management,
92d85742-d34d-42c1-b9c5-3a039cc1d6f7,2041f5ec-1292-4695-ba05-6467bedfc759,BLD-C-F1,Administration Building - Floor 1,floor,t,3,MAIN/BLD-C/BLD-C-F1,Main Campus > Administration Building > Administration Building - Floor 1,Main Campus,Administration Building,Administration Building - Floor 1,,d52b79be-c2d1-4095-83c4-ba22b0b20ef9,Main Campus,,
0c1c0aa3-1842-48cd-90df-9832635602f9,e5af376e-e289-46e9-89ef-56eaefb911a9,BLD-A-F2,Engineering Building - Floor 2,floor,t,3,MAIN/BLD-A/BLD-A-F2,Main Campus > Engineering Building > Engineering Building - Floor 2,Main Campus,Engineering Building,Engineering Building - Floor 2,,6fae8d38-5d36-4971-bb0e-c2b1b6f880b1,Faculty of Engineering,Faculty of Engineering,
8edad0d5-b77f-48bc-a287-396629e4a1a0,80ff2b98-628f-42d9-b675-40e5a7091649,BLD-B-F2,AI and Data Science Building - Floor 2,floor,t,3,MAIN/BLD-B/BLD-B-F2,Main Campus > AI and Data Science Building > AI and Data Science Building - Floor 2,Main Campus,AI and Data Science Building,AI and Data Science Building - Floor 2,,faf0affc-ea1d-41f0-97e6-c0f136acfb12,Faculty of AI and Data Management,Faculty of AI and Data Management,
37724b27-3ef2-4bb3-ab2a-60ec4c7b9618,2041f5ec-1292-4695-ba05-6467bedfc759,BLD-C-F2,Administration Building - Floor 2,floor,t,3,MAIN/BLD-C/BLD-C-F2,Main Campus > Administration Building > Administration Building - Floor 2,Main Campus,Administration Building,Administration Building - Floor 2,,d52b79be-c2d1-4095-83c4-ba22b0b20ef9,Main Campus,,
82b18927-3012-44e6-8cdf-2cfd52c45ab5,e5af376e-e289-46e9-89ef-56eaefb911a9,BLD-A-STORE,Store room - Engineering Building,storage,t,3,MAIN/BLD-A/BLD-A-STORE,Main Campus > Engineering Building > Store room - Engineering Building,Main Campus,Engineering Building,Store room - Engineering Building,,6fae8d38-5d36-4971-bb0e-c2b1b6f880b1,Faculty of Engineering,Faculty of Engineering,
40ac170c-94e1-49c9-ae15-deb0fd7ba15b,80ff2b98-628f-42d9-b675-40e5a7091649,BLD-B-STORE,Store room - AI and Data Science Building,storage,t,3,MAIN/BLD-B/BLD-B-STORE,Main Campus > AI and Data Science Building > Store room - AI and Data Science Building,Main Campus,AI and Data Science Building,Store room - AI and Data Science Building,,faf0affc-ea1d-41f0-97e6-c0f136acfb12,Faculty of AI and Data Management,Faculty of AI and Data Management,
bbb89a25-db68-49a5-aaed-0cc24d38281b,2041f5ec-1292-4695-ba05-6467bedfc759,BLD-C-STORE,Store room - Administration Building,storage,t,3,MAIN/BLD-C/BLD-C-STORE,Main Campus > Administration Building > Store room - Administration Building,Main Campus,Administration Building,Store room - Administration Building,,d52b79be-c2d1-4095-83c4-ba22b0b20ef9,Main Campus,,
418ec156-f12e-4b21-8e3c-9546e326d2f3,c70933ce-e053-4ffe-8e0d-97ab5eaf8dae,BLD-A-F1-R01,Lab BLD-A-F1-01,room,t,4,MAIN/BLD-A/BLD-A-F1/BLD-A-F1-R01,Main Campus > Engineering Building > Engineering Building - Floor 1 > Lab BLD-A-F1-01,Main Campus,Engineering Building,Engineering Building - Floor 1,Lab BLD-A-F1-01,053cf8f8-7366-46a9-b0bb-3f4c8b856fa5,Computer Science Department,Faculty of Engineering,Computer Science Department
477a6a8f-fc3e-46c4-9661-b8e18aa51458,8e34a5cf-6a71-44a7-9a49-78f0d5bfccd0,BLD-B-F1-R01,Lab BLD-B-F1-01,room,t,4,MAIN/BLD-B/BLD-B-F1/BLD-B-F1-R01,Main Campus > AI and Data Science Building > AI and Data Science Building - Floor 1 > Lab BLD-B-F1-01,Main Campus,AI and Data Science Building,AI and Data Science Building - Floor 1,Lab BLD-B-F1-01,8ef0ecc9-58c0-4c55-91e0-178f17ee7c58,Artificial Intelligence Department,Faculty of AI and Data Management,Artificial Intelligence Department
8090e173-233a-4c47-9778-d4fe6f272e43,92d85742-d34d-42c1-b9c5-3a039cc1d6f7,BLD-C-F1-R01,Lab BLD-C-F1-01,room,t,4,MAIN/BLD-C/BLD-C-F1/BLD-C-F1-R01,Main Campus > Administration Building > Administration Building - Floor 1 > Lab BLD-C-F1-01,Main Campus,Administration Building,Administration Building - Floor 1,Lab BLD-C-F1-01,d82f0fd6-d71d-41ff-b68c-5f4f7a3f4ea0,Finance and Procurement,Finance and Procurement,
67bdcd67-117b-453f-88c9-25b12a0565e7,0c1c0aa3-1842-48cd-90df-9832635602f9,BLD-A-F2-R01,Lab BLD-A-F2-01,room,t,4,MAIN/BLD-A/BLD-A-F2/BLD-A-F2-R01,Main Campus > Engineering Building > Engineering Building - Floor 2 > Lab BLD-A-F2-01,Main Campus,Engineering Building,Engineering Building - Floor 2,Lab BLD-A-F2-01,053cf8f8-7366-46a9-b0bb-3f4c8b856fa5,Computer Science Department,Faculty of Engineering,Computer Science Department
df3d8ea3-3aa6-4212-a736-6a16b4ecb804,8edad0d5-b77f-48bc-a287-396629e4a1a0,BLD-B-F2-R01,Lab BLD-B-F2-01,room,t,4,MAIN/BLD-B/BLD-B-F2/BLD-B-F2-R01,Main Campus > AI and Data Science Building > AI and Data Science Building - Floor 2 > Lab BLD-B-F2-01,Main Campus,AI and Data Science Building,AI and Data Science Building - Floor 2,Lab BLD-B-F2-01,8ef0ecc9-58c0-4c55-91e0-178f17ee7c58,Artificial Intelligence Department,Faculty of AI and Data Management,Artificial Intelligence Department
ab9714cb-122f-4204-a820-6d7257a3057c,37724b27-3ef2-4bb3-ab2a-60ec4c7b9618,BLD-C-F2-R01,Lab BLD-C-F2-01,room,t,4,MAIN/BLD-C/BLD-C-F2/BLD-C-F2-R01,Main Campus > Administration Building > Administration Building - Floor 2 > Lab BLD-C-F2-01,Main Campus,Administration Building,Administration Building - Floor 2,Lab BLD-C-F2-01,d82f0fd6-d71d-41ff-b68c-5f4f7a3f4ea0,Finance and Procurement,Finance and Procurement,
5bac9e47-d100-44c8-b570-0db31ea21fad,c70933ce-e053-4ffe-8e0d-97ab5eaf8dae,BLD-A-F1-R02,Lab BLD-A-F1-02,room,t,4,MAIN/BLD-A/BLD-A-F1/BLD-A-F1-R02,Main Campus > Engineering Building > Engineering Building - Floor 1 > Lab BLD-A-F1-02,Main Campus,Engineering Building,Engineering Building - Floor 1,Lab BLD-A-F1-02,dc26f153-404e-47f8-8034-eb07783f1c9d,Electrical Engineering Department,Faculty of Engineering,Electrical Engineering Department
