org_unit_id,parent_org_unit_id,org_unit_name,org_unit_type,is_active,depth,org_path,university,campus,college,department
4ce1e772-9480-46bd-8382-38a8849b3423,,Badr University in Assiut,university,t,1,Badr University in Assiut,Badr University in Assiut,,,
d52b79be-c2d1-4095-83c4-ba22b0b20ef9,4ce1e772-9480-46bd-8382-38a8849b3423,Main Campus,campus,t,2,Badr University in Assiut > Main Campus,Badr University in Assiut,Main Campus,,
6fae8d38-5d36-4971-bb0e-c2b1b6f880b1,d52b79be-c2d1-4095-83c4-ba22b0b20ef9,Faculty of Engineering,college,t,3,Badr University in Assiut > Main Campus > Faculty of Engineering,Badr University in Assiut,Main Campus,Faculty of Engineering,
faf0affc-ea1d-41f0-97e6-c0f136acfb12,d52b79be-c2d1-4095-83c4-ba22b0b20ef9,Faculty of AI and Data Management,college,t,3,Badr University in Assiut > Main Campus > Faculty of AI and Data Management,Badr University in Assiut,Main Campus,Faculty of AI and Data Management,
d82f0fd6-d71d-41ff-b68c-5f4f7a3f4ea0,d52b79be-c2d1-4095-83c4-ba22b0b20ef9,Finance and Procurement,unit,t,3,Badr University in Assiut > Main Campus > Finance and Procurement,Badr University in Assiut,Main Campus,Finance and Procurement,
ff591628-5c79-4358-9a5b-d60833359337,d52b79be-c2d1-4095-83c4-ba22b0b20ef9,Facilities Management,unit,t,3,Badr University in Assiut > Main Campus > Facilities Management,Badr University in Assiut,Main Campus,Facilities Management,
053cf8f8-7366-46a9-b0bb-3f4c8b856fa5,6fae8d38-5d36-4971-bb0e-c2b1b6f880b1,Computer Science Department,department,t,4,Badr University in Assiut > Main Campus > Faculty of Engineering > Computer Science Department,Badr University in Assiut,Main Campus,Faculty of Engineering,Computer Science Department
dc26f153-404e-47f8-8034-eb07783f1c9d,6fae8d38-5d36-4971-bb0e-c2b1b6f880b1,Electrical Engineering Department,department,t,4,Badr University in Assiut > Main Campus > Faculty of Engineering > Electrical Engineering Department,Badr University in Assiut,Main Campus,Faculty of Engineering,Electrical Engineering Department
8ef0ecc9-58c0-4c55-91e0-178f17ee7c58,faf0affc-ea1d-41f0-97e6-c0f136acfb12,Artificial Intelligence Department,department,t,4,Badr University in Assiut > Main Campus > Faculty of AI and Data Management > Artificial Intelligence Department,Badr University in Assiut,Main Campus,Faculty of AI and Data Management,Artificial Intelligence Department
6f3efb5d-afd8-49c9-8c40-31084252833a,faf0affc-ea1d-41f0-97e6-c0f136acfb12,Data Science Department,department,t,4,Badr University in Assiut > Main Campus > Faculty of AI and Data Management > Data Science Department,Badr University in Assiut,Main Campus,Faculty of AI and Data Management,Data Science Department
