document_id,asset_id,asset_tag,org_unit_id,org_unit_name,building,document_type,supplier_name,purchase_order_number,invoice_number,invoice_amount,warranty_provider,warranty_expires_at,warranty_days_left,warranty_bucket,mime_type,byte_size,size_mb,scan_status,is_downloadable,uploaded_by,uploaded_by_name,created_at,uploaded_date
af4e0179-079c-4ec1-8844-0b54b1a9bcd1,bf853716-95ce-4780-b6f6-d421c3eb7e98,AST-FURN-CAB-00280,053cf8f8-7366-46a9-b0bb-3f4c8b856fa5,Computer Science Department,Engineering Building,retirement_evidence,,,,,,,,not a warranty,application/pdf,340000,0.32,clean,t,63cfd2c4-2600-45b5-8925-b1c9ff6c04ee,Hossam El-Deen,2026-09-21 12:36:10.142818+00,2026-09-21
4377dfc2-b6ba-4bc0-81dc-f32a18c4be0f,027bcbe3-1df7-4e1b-8002-9f246d505d52,AST-IT-PROJ-00261,053cf8f8-7366-46a9-b0bb-3f4c8b856fa5,Computer Science Department,Engineering Building,warranty,PowerGuard Energy,,,,Manufacturer warranty,2028-09-23,733,covered,application/pdf,98086,0.09,clean,t,a88277d6-7193-4856-b318-4d7fb0af2f58,Mostafa Adel,2025-10-08 00:00:00+00,2025-10-08
d06a2008-23c6-4926-8e38-e843d7082a5a,c8b0db7a-6259-4630-8235-dec7c52f6f0a,AST-IT-MONITOR-00056,053cf8f8-7366-46a9-b0bb-3f4c8b856fa5,Computer Science Department,Engineering Building,warranty,PowerGuard Energy,,,,Manufacturer warranty,2026-09-23,2,expiring in 30 days,application/pdf,130965,0.12,clean,t,a88277d6-7193-4856-b318-4d7fb0af2f58,Mostafa Adel,2024-10-07 00:00:00+00,2024-10-07
832d5e3f-f88b-4607-af56-dc2f4801157d,19376259-e7c6-474d-a274-b4a7dd0aa995,AST-IT-MONITOR-00318,053cf8f8-7366-46a9-b0bb-3f4c8b856fa5,Computer Science Department,Engineering Building,warranty,Nile Tech Systems,,,,Service contract,2023-11-03,-1053,expired,application/pdf,85172,0.08,clean,t,a88277d6-7193-4856-b318-4d7fb0af2f58,Mostafa Adel,2021-11-17 00:00:00+00,2021-11-17
e3d1c1ab-54d5-4490-ae20-db413aa58b21,664b8874-680a-4a42-bcca-60369d3b4d1d,AST-IT-PC-00168,053cf8f8-7366-46a9-b0bb-3f4c8b856fa5,Computer Science Department,Engineering Building,warranty,Nile Tech Systems,,,,Service contract,2028-02-14,511,covered,application/pdf,84005,0.08,clean,t,a88277d6-7193-4856-b318-4d7fb0af2f58,Mostafa Adel,2026-02-28 00:00:00+00,2026-02-28
32919db6-73ea-47d5-805a-83130713008b,e5f03288-56b5-4e41-aeae-32ac9ca686ed,AST-IT-PC-00336,053cf8f8-7366-46a9-b0bb-3f4c8b856fa5,Computer Science Department,Engineering Building,warranty,PowerGuard Energy,,,,Supplier extended cover,2025-09-11,-375,expired,application/pdf,125023,0.12,clean,t,a88277d6-7193-4856-b318-4d7fb0af2f58,Mostafa Adel,2023-09-26 00:00:00+00,2023-09-26
9aca0255-e474-48f7-b7e2-80119027dedf,027bcbe3-1df7-4e1b-8002-9f246d505d52,AST-IT-PROJ-00261,053cf8f8-7366-46a9-b0bb-3f4c8b856fa5,Computer Science Department,Engineering Building,invoice,PowerGuard Energy,PO-2025-0019,INV-2025-0097,18924.00,,,,not a warranty,application/pdf,481679,0.46,clean,t,a88277d6-7193-4856-b318-4d7fb0af2f58,Mostafa Adel,2025-10-08 00:00:00+00,2025-10-08
16de0a09-180f-48b9-9523-9a7e471bda6e,5b5c4ba3-0d50-43b1-8add-272e9671253d,AST-FURN-CAB-00112,053cf8f8-7366-46a9-b0bb-3f4c8b856fa5,Computer Science Department,Engineering Building,invoice,LabLine Scientific,PO-2020-0055,INV-2020-0282,3192.00,,,,not a warranty,application/pdf,438122,0.42,clean,t,a88277d6-7193-4856-b318-4d7fb0af2f58,Mostafa Adel,2020-05-12 00:00:00+00,2020-05-12
d9cd72a2-0484-4106-9931-350e7c48bb34,bf853716-95ce-4780-b6f6-d421c3eb7e98,AST-FURN-CAB-00280,053cf8f8-7366-46a9-b0bb-3f4c8b856fa5,Computer Science Department,Engineering Building,invoice,Delta Computer Supplies,PO-2021-0010,INV-2021-0072,3192.00,,,,not a warranty,application/pdf,422482,0.40,clean,t,a88277d6-7193-4856-b318-4d7fb0af2f58,Mostafa Adel,2021-09-20 00:00:00+00,2021-09-20
8212073c-8d95-4b81-baaf-e04cfdd6eb92,c8b0db7a-6259-4630-8235-dec7c52f6f0a,AST-IT-MONITOR-00056,053cf8f8-7366-46a9-b0bb-3f4c8b856fa5,Computer Science Department,Engineering Building,invoice,PowerGuard Energy,PO-2024-0028,INV-2024-0115,4446.00,,,,not a warranty,application/pdf,478867,0.46,clean,t,a88277d6-7193-4856-b318-4d7fb0af2f58,Mostafa Adel,2024-10-07 00:00:00+00,2024-10-07
