org_unit_name,college,department,building,category_group_name,category_name,asset_count,active_count,retired_count,lost_count,without_custodian,without_serial,completeness_pct,total_purchase_cost,avg_age_years
Artificial Intelligence Department,Faculty of AI and Data Management,Artificial Intelligence Department,AI and Data Science Building,Facility Equipment,Air Conditioner,1,1,0,0,0,0,100.0,21000.00,3.82
Artificial Intelligence Department,Faculty of AI and Data Management,Artificial Intelligence Department,AI and Data Science Building,Facility Equipment,UPS Unit,7,7,0,0,0,0,100.0,69850.00,3.49
Artificial Intelligence Department,Faculty of AI and Data Management,Artificial Intelligence Department,AI and Data Science Building,Furniture,Filing Cabinet,5,4,0,0,0,5,0.0,15760.00,3.48
Artificial Intelligence Department,Faculty of AI and Data Management,Artificial Intelligence Department,AI and Data Science Building,Furniture,Office Chair,4,4,0,0,0,4,0.0,8930.00,2.81
Artificial Intelligence Department,Faculty of AI and Data Management,Artificial Intelligence Department,AI and Data Science Building,Furniture,Office Desk,8,6,1,0,0,8,0.0,32960.00,2.84
Artificial Intelligence Department,Faculty of AI and Data Management,Artificial Intelligence Department,AI and Data Science Building,Information Technology,Desktop Computer,20,20,0,0,0,0,100.0,401600.00,4.30
Artificial Intelligence Department,Faculty of AI and Data Management,Artificial Intelligence Department,AI and Data Science Building,Information Technology,Laptop,9,7,0,0,0,0,100.0,273100.00,4.88
Artificial Intelligence Department,Faculty of AI and Data Management,Artificial Intelligence Department,AI and Data Science Building,Information Technology,Monitor,9,9,0,0,0,0,100.0,41500.00,4.00
Artificial Intelligence Department,Faculty of AI and Data Management,Artificial Intelligence Department,AI and Data Science Building,Information Technology,Network Switch,8,8,0,0,0,0,100.0,96800.00,2.87
Artificial Intelligence Department,Faculty of AI and Data Management,Artificial Intelligence Department,AI and Data Science Building,Information Technology,Printer,2,2,0,0,0,0,100.0,20100.00,1.82
Artificial Intelligence Department,Faculty of AI and Data Management,Artificial Intelligence Department,AI and Data Science Building,Laboratory Equipment,Oscilloscope,4,4,0,0,0,0,100.0,286000.00,4.84
Computer Science Department,Faculty of Engineering,Computer Science Department,Engineering Building,Facility Equipment,UPS Unit,6,6,0,0,0,0,100.0,51050.00,4.77
Computer Science Department,Faculty of Engineering,Computer Science Department,Engineering Building,Furniture,Filing Cabinet,6,3,3,0,0,6,0.0,17680.00,5.55
Computer Science Department,Faculty of Engineering,Computer Science Department,Engineering Building,Furniture,Office Chair,9,8,1,0,0,9,0.0,20520.00,3.90
Computer Science Department,Faculty of Engineering,Computer Science Department,Engineering Building,Furniture,Office Desk,5,5,0,0,0,5,0.0,21120.00,3.44
Computer Science Department,Faculty of Engineering,Computer Science Department,Engineering Building,Information Technology,Desktop Computer,18,15,2,0,0,0,88.9,364400.00,3.38
Computer Science Department,Faculty of Engineering,Computer Science Department,Engineering Building,Information Technology,Laptop,5,5,0,0,0,0,100.0,149700.00,3.39
Computer Science Department,Faculty of Engineering,Computer Science Department,Engineering Building,Information Technology,Monitor,20,17,2,0,0,0,90.0,87920.00,3.95
Computer Science Department,Faculty of Engineering,Computer Science Department,Engineering Building,Information Technology,Network Switch,4,4,0,0,0,0,100.0,54800.00,3.33
Computer Science Department,Faculty of Engineering,Computer Science Department,Engineering Building,Information Technology,Projector,1,1,0,0,0,0,100.0,16600.00,0.99
Computer Science Department,Faculty of Engineering,Computer Science Department,Engineering Building,Laboratory Equipment,Oscilloscope,7,4,2,1,0,0,71.4,538500.00,3.81
