org_unit_name,building,category_name,work_order_count,preventive_count,corrective_count,preventive_pct,outstanding_count,overdue_count,mttr_hours,downtime_minutes,downtime_hours,maintenance_cost
Electrical Engineering Department,Engineering Building,Oscilloscope,8,4,4,50.0,2,1,15.76,5674,94.6,8134.00
Finance and Procurement,Administration Building,Network Switch,20,17,3,85.0,5,2,5.10,4589,76.5,13256.00
Facilities Management,Administration Building,Desktop Computer,112,106,6,94.6,16,3,3.01,17348,289.1,52306.00
Data Science Department,AI and Data Science Building,3D Printer,1,0,1,0.0,0,0,30.70,1842,30.7,600.00
Finance and Procurement,Administration Building,Office Desk,13,10,3,76.9,6,2,9.76,4100,68.3,4827.00
Data Science Department,AI and Data Science Building,Monitor,56,47,9,83.9,17,5,6.19,14472,241.2,25184.00
Artificial Intelligence Department,AI and Data Science Building,Office Chair,3,0,3,0.0,1,1,14.64,1757,29.3,5041.00
Artificial Intelligence Department,AI and Data Science Building,Air Conditioner,13,13,0,100.0,1,0,1.47,1058,17.6,4844.00
Computer Science Department,Engineering Building,Desktop Computer,112,95,17,84.8,12,3,5.84,33294,554.9,68181.00
Electrical Engineering Department,Engineering Building,Office Chair,2,0,2,0.0,0,0,42.24,5068,84.5,2701.00
Finance and Procurement,Administration Building,Laptop,42,37,5,88.1,7,2,5.04,10588,176.5,19402.00
Data Science Department,AI and Data Science Building,UPS Unit,4,4,0,100.0,1,0,0.83,149,2.5,1594.00
Data Science Department,AI and Data Science Building,Projector,2,0,2,0.0,0,0,38.20,4584,76.4,1634.00
Electrical Engineering Department,Engineering Building,Monitor,67,57,10,85.1,15,0,6.57,20509,341.8,28342.00
Facilities Management,Administration Building,Printer,46,43,3,93.5,6,2,3.33,7981,133.0,21172.00
Facilities Management,Administration Building,Office Desk,16,13,3,81.3,6,0,5.47,3279,54.7,12007.00
Facilities Management,Administration Building,Projector,4,0,4,0.0,0,0,34.93,8384,139.7,4901.00
Electrical Engineering Department,Engineering Building,Desktop Computer,158,133,25,84.2,24,10,4.84,38616,643.6,74373.00
Computer Science Department,Engineering Building,Office Chair,10,0,10,0.0,0,0,24.06,14437,240.6,14830.00
Finance and Procurement,Administration Building,Desktop Computer,84,75,9,89.3,12,6,3.93,16258,271.0,41869.00
Computer Science Department,Engineering Building,Office Desk,13,12,1,92.3,5,0,4.77,2290,38.2,5409.00
Facilities Management,Administration Building,Office Chair,2,0,2,0.0,0,0,31.43,3771,62.9,2954.00
Electrical Engineering Department,Engineering Building,3D Printer,8,0,8,0.0,1,1,27.58,11583,193.1,3431.00
Electrical Engineering Department,Engineering Building,Projector,7,0,7,0.0,1,1,21.47,7730,128.8,5385.00
Facilities Management,Administration Building,Monitor,36,29,7,80.6,8,0,7.72,12962,216.0,22610.00
