month,work_order_kind,jobs_completed,total_cost,downtime_hours,avg_repair_hours
2024-07-01,corrective,8,13977.00,193.1,24.14
2025-01-01,corrective,8,9171.00,225.2,28.16
2025-01-01,preventive,48,23816.00,77.0,1.60
2025-04-01,corrective,9,11363.00,205.7,22.86
2024-11-01,corrective,9,15032.00,147.7,16.41
2026-06-01,corrective,5,10087.00,133.9,26.78
2024-11-01,preventive,27,14063.00,48.6,1.80
2024-01-01,corrective,7,11629.00,157.0,22.43
2025-09-01,preventive,49,22756.00,87.8,1.79
2025-03-01,preventive,46,23427.00,81.9,1.78
2024-07-01,preventive,47,23836.00,78.4,1.67
2025-10-01,corrective,6,13192.00,135.5,22.58
2026-01-01,corrective,12,15521.00,236.8,19.73
2024-01-01,preventive,43,15349.00,76.0,1.77
2025-10-01,preventive,35,18624.00,58.5,1.67
2024-09-01,corrective,7,10277.00,194.8,27.82
2025-05-01,corrective,5,6333.00,186.1,37.21
2026-02-01,corrective,12,17181.00,318.9,26.58
2024-06-01,corrective,10,12353.00,270.2,27.02
2024-10-01,preventive,33,16775.00,56.3,1.71
2025-06-01,corrective,13,18832.00,415.1,31.93
2026-09-01,preventive,31,18196.00,50.2,1.62
2026-07-01,preventive,49,24387.00,80.3,1.64
2024-04-01,preventive,35,18043.00,68.0,1.94
2024-05-01,preventive,31,14312.00,55.8,1.80
2024-03-01,preventive,35,15866.00,70.6,2.02
2026-03-01,preventive,46,17907.00,80.5,1.75
2024-08-01,preventive,36,19240.00,66.2,1.84
2024-02-01,preventive,33,14652.00,55.6,1.68
2026-08-01,corrective,12,15574.00,231.6,19.30
2023-12-01,corrective,3,7805.00,61.9,20.64
2026-05-01,preventive,37,15209.00,70.6,1.91
2024-06-01,preventive,25,14437.00,43.7,1.75
2024-09-01,preventive,39,19332.00,75.5,1.93
2026-07-01,corrective,10,16276.00,266.4,26.64
2026-05-01,corrective,11,16233.00,286.7,26.06
2025-08-01,corrective,9,11493.00,177.7,19.74
2025-12-01,corrective,7,13691.00,95.4,13.63
2024-02-01,corrective,13,20601.00,312.1,24.01
2025-03-01,corrective,13,20818.00,356.6,27.43
2025-05-01,preventive,39,18410.00,73.5,1.88
2025-11-01,preventive,34,15652.00,54.3,1.60
2025-08-01,preventive,46,23747.00,84.6,1.84
2024-10-01,corrective,7,13505.00,147.7,21.10
2025-12-01,preventive,44,21005.00,77.0,1.75
2023-09-01,corrective,1,1296.00,32.9,32.90
2023-11-01,preventive,24,12284.00,44.5,1.85
2023-10-01,corrective,5,7311.00,73.9,14.77
2023-10-01,preventive,28,11722.00,51.7,1.84
2025-07-01,preventive,56,26504.00,107.9,1.93
2024-12-01,corrective,4,6368.00,120.2,30.06
2026-04-01,corrective,12,16555.00,345.7,28.81
2024-04-01,corrective,3,3920.00,47.8,15.94
2026-09-01,corrective,7,12450.00,138.1,19.73
2025-04-01,preventive,40,18441.00,67.1,1.68
2026-01-01,preventive,55,26465.00,82.3,1.50
2025-02-01,corrective,7,9100.00,155.0,22.14
2026-08-01,preventive,34,16954.00,55.3,1.63
2025-11-01,corrective,9,12256.00,206.3,22.92
2026-02-01,preventive,32,15544.00,54.8,1.71
2025-09-01,corrective,11,16489.00,155.4,14.13
2025-02-01,preventive,31,15348.00,56.0,1.80
2023-09-01,preventive,4,2348.00,7.3,1.81
2026-03-01,corrective,9,14366.00,261.7,29.07
2024-03-01,corrective,7,13495.00,138.7,19.81
2023-11-01,corrective,4,2646.00,114.8,28.71
2024-12-01,preventive,44,18191.00,72.1,1.64
2024-08-01,corrective,12,18175.00,402.5,33.54
2026-06-01,preventive,25,11439.00,43.4,1.73
2026-04-01,preventive,36,19131.00,65.5,1.82
2025-07-01,corrective,7,14198.00,279.2,39.89
2025-06-01,preventive,28,15007.00,47.6,1.70
2024-05-01,corrective,9,8353.00,184.4,20.49
2023-12-01,preventive,31,12617.00,52.7,1.70
