id,category_id,current_location_id,custodian_user_id,asset_tag,serial_number,brand,model,specifications,condition,status,purchase_date,purchase_cost,next_maintenance_due_at,risk_band,risk_reasons,retired_at,retirement_reason,created_at,updated_at,created_by,updated_by
236e3ef4-e754-43cc-870e-6a4f396f8ffb,06e541d2-a9a0-47e4-96ff-9533e92db5b6,ed0c4695-23ba-41bb-bb52-4fc110fc0fde,,AST-FURN-CAB-00256,,Upper Office Works,Cabinet-4D,{},poor,retired,2019-09-14,3240.00,,unknown,[],2026-08-27 12:36:10.142818+00,Damaged beyond repair,2019-09-21 00:00:00+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,63cfd2c4-2600-45b5-8925-b1c9ff6c04ee
7fe1bcfe-74c1-4691-bec0-496189b173ff,06e541d2-a9a0-47e4-96ff-9533e92db5b6,226f67de-eecb-4041-b2fd-00c436b1b82f,,AST-FURN-CAB-00184,,Upper Office Works,Cabinet-4D,{},poor,retired,2019-11-22,2800.00,,unknown,[],2026-07-12 12:36:10.142818+00,Beyond economic repair,2019-11-29 00:00:00+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,63cfd2c4-2600-45b5-8925-b1c9ff6c04ee
532e2a01-97ae-42aa-969f-6eff4f5b9ab5,9fc46e12-92c2-4613-b9b1-dd8845412769,ad7545d1-5dd0-4c6a-9a2b-f8865e75563f,,AST-IT-PROJ-00021,ITPROJ-169659,BenQ,BeamPro 119,"{""lumens"": 5000, ""lamp_hours"": 1617}",poor,retired,2020-01-11,14500.00,,unknown,[],2026-02-26 12:36:10.142818+00,"Obsolete, no spare parts available",2020-01-18 00:00:00+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,63cfd2c4-2600-45b5-8925-b1c9ff6c04ee
5f802b6a-a3a0-49b6-8f19-9937419476ca,928e1185-3903-4639-bd6e-0fe5d4e1bd5e,8ce58e75-8b56-44e0-b303-308ab877a282,,AST-IT-PC-00316,ITPC-550518,Dell,OptiPlex 7090,"{""cpu"": ""i5-11400"", ""ram_gb"": 16, ""storage_gb"": 256}",failed,retired,2020-02-18,21800.00,,unknown,[],2026-07-05 12:36:10.142818+00,Damaged beyond repair,2020-02-25 00:00:00+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,63cfd2c4-2600-45b5-8925-b1c9ff6c04ee
d7238598-208f-4d36-a514-45c86dd38e2c,f0a14b69-c0ce-4372-ae3d-ae946d801d82,b9ee01aa-284d-41fc-92e0-1e2c29704a3b,,AST-LAB-3DP-00071,LAB3DP-737863,LabLine,FDM-201,"{""build_mm"": ""220x220x250"", ""filament"": ""PETG""}",poor,retired,2020-02-26,35400.00,,unknown,[],2026-08-03 12:36:10.142818+00,"Obsolete, no spare parts available",2020-03-04 00:00:00+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,63cfd2c4-2600-45b5-8925-b1c9ff6c04ee
ec5aa83a-7dce-4464-9335-92d8a60b93f4,f01bbdb0-5e6b-46f9-bc6c-97ce11922f55,67bdcd67-117b-453f-88c9-25b12a0565e7,,AST-FURN-CHAIR-00230,,Upper Office Works,Ergo-Pro,{},failed,retired,2020-04-12,2660.00,,unknown,[],2026-05-24 12:36:10.142818+00,Replaced under the renewal plan,2020-04-19 00:00:00+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,63cfd2c4-2600-45b5-8925-b1c9ff6c04ee
30b21e6c-c1ff-4fa4-896a-27f455d33743,928e1185-3903-4639-bd6e-0fe5d4e1bd5e,824bea60-5daa-4553-8a8a-d2d710545d90,,AST-IT-PC-00001,ITPC-364957,Dell,OptiPlex 7090,"{""cpu"": ""i7-10700"", ""ram_gb"": 16, ""storage_gb"": 512}",poor,retired,2020-05-19,21800.00,,unknown,[],2026-06-08 12:36:10.142818+00,Replaced under the renewal plan,2020-05-26 00:00:00+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,63cfd2c4-2600-45b5-8925-b1c9ff6c04ee
e202e999-36c0-49e9-b8c4-b6bc1f7e4ec0,928e1185-3903-4639-bd6e-0fe5d4e1bd5e,ab9714cb-122f-4204-a820-6d7257a3057c,,AST-IT-PC-00096,ITPC-965263,Dell,OptiPlex 7090,"{""cpu"": ""i5-11400"", ""ram_gb"": 8, ""storage_gb"": 256}",poor,retired,2020-08-23,21800.00,,unknown,[],2026-02-08 12:36:10.142818+00,"Obsolete, no spare parts available",2020-08-30 00:00:00+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,63cfd2c4-2600-45b5-8925-b1c9ff6c04ee
bb567931-c2a0-435a-9c53-b9a5fd409f8a,95ef5f39-7726-40fc-a96e-a70dc1197538,67bdcd67-117b-453f-88c9-25b12a0565e7,,AST-IT-MONITOR-00030,ITMONITOR-685342,Dell,V26HD,"{""size_in"": 24, ""resolution"": ""2560x1440""}",poor,retired,2020-11-19,4860.00,,unknown,[],2026-03-07 12:36:10.142818+00,Replaced under the renewal plan,2020-11-26 00:00:00+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,63cfd2c4-2600-45b5-8925-b1c9ff6c04ee
8ab8ac6d-3c1c-4f30-bf7e-ae7188b0849f,928e1185-3903-4639-bd6e-0fe5d4e1bd5e,73fdb59c-ac31-400e-bf53-3b4e19b20c10,,AST-IT-PC-00099,ITPC-305415,Asus,ExpertCenter D500,"{""cpu"": ""i7-10700"", ""ram_gb"": 32, ""storage_gb"": 512}",poor,retired,2020-11-27,21000.00,,unknown,[],2026-03-14 12:36:10.142818+00,Damaged beyond repair,2020-12-04 00:00:00+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,63cfd2c4-2600-45b5-8925-b1c9ff6c04ee
0f96dd5e-bc40-479b-a4a8-935f141761fe,928e1185-3903-4639-bd6e-0fe5d4e1bd5e,226f67de-eecb-4041-b2fd-00c436b1b82f,,AST-IT-PC-00240,ITPC-766333,HP,ProDesk 600 G6,"{""cpu"": ""i5-11400"", ""ram_gb"": 16, ""storage_gb"": 512}",poor,retired,2020-12-14,17000.00,,unknown,[],2026-07-23 12:36:10.142818+00,Damaged beyond repair,2020-12-21 00:00:00+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,63cfd2c4-2600-45b5-8925-b1c9ff6c04ee
eeb669d0-65f9-44b2-adbb-070e72c28d31,928e1185-3903-4639-bd6e-0fe5d4e1bd5e,d640dd11-70ae-4fdc-af12-97b61c1003e1,,AST-IT-PC-00049,ITPC-951584,Asus,ExpertCenter D500,"{""cpu"": ""i5-10500"", ""ram_gb"": 8, ""storage_gb"": 1024}",poor,retired,2021-03-14,21000.00,,unknown,[],2026-09-11 12:36:10.142818+00,Damaged beyond repair,2021-03-21 00:00:00+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,63cfd2c4-2600-45b5-8925-b1c9ff6c04ee
554d6041-1b26-429f-b36b-9976bf27eaa4,f01bbdb0-5e6b-46f9-bc6c-97ce11922f55,fd093c49-0da4-4fb9-b4ca-3354e21aeeed,,AST-FURN-CHAIR-00303,,Upper Office Works,Ergo-Basic,{},failed,retired,2021-04-03,1900.00,,unknown,[],2026-08-30 12:36:10.142818+00,Replaced under the renewal plan,2021-04-10 00:00:00+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,63cfd2c4-2600-45b5-8925-b1c9ff6c04ee
edbb1f34-97db-4120-88ea-23d452ef52c5,f4f70d56-e321-4804-9b2d-7bd5ea0e9255,b430dfa5-4f26-4ce2-bba1-b6ed3b2eefd4,,AST-LAB-OSC-00190,LABOSC-121829,LabLine,OSC-108,"{""channels"": 2, ""bandwidth_mhz"": 100}",failed,retired,2021-07-19,81000.00,,unknown,[],2026-06-12 12:36:10.142818+00,"Obsolete, no spare parts available",2021-07-26 00:00:00+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,63cfd2c4-2600-45b5-8925-b1c9ff6c04ee
ac6d9a84-04e2-4e0e-b855-6bcb57623c9c,f0a14b69-c0ce-4372-ae3d-ae946d801d82,5a904d7b-02c7-4a5f-8de4-8106644afe6f,,AST-LAB-3DP-00215,LAB3DP-296272,LabLine,FDM-202,"{""build_mm"": ""220x220x250"", ""filament"": ""PETG""}",poor,retired,2021-08-19,35400.00,,unknown,[],2026-01-11 12:36:10.142818+00,Damaged beyond repair,2021-08-26 00:00:00+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,63cfd2c4-2600-45b5-8925-b1c9ff6c04ee
ab65e716-a553-4163-8e14-81d2954dd14a,95ef5f39-7726-40fc-a96e-a70dc1197538,14b66bd0-87c7-4b31-b195-99a166e255b1,,AST-IT-MONITOR-00270,ITMONITOR-215078,LG,V25HD,"{""size_in"": 27, ""resolution"": ""1920x1080""}",poor,retired,2021-08-30,4220.00,,unknown,[],2026-09-08 12:36:10.142818+00,Replaced under the renewal plan,2021-09-06 00:00:00+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,63cfd2c4-2600-45b5-8925-b1c9ff6c04ee
bf853716-95ce-4780-b6f6-d421c3eb7e98,06e541d2-a9a0-47e4-96ff-9533e92db5b6,418ec156-f12e-4b21-8e3c-9546e326d2f3,,AST-FURN-CAB-00280,,Upper Office Works,Cabinet-2D,{},failed,retired,2021-09-06,2800.00,,unknown,[],2026-01-23 12:36:10.142818+00,"Obsolete, no spare parts available",2021-09-13 00:00:00+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,63cfd2c4-2600-45b5-8925-b1c9ff6c04ee
