id,category_id,name,trigger_type,interval_days,runtime_hours,condition_rule,checklist,is_active,created_at,updated_at,created_by,updated_by
ba34b363-aaaf-4973-9c54-304cdc093281,928e1185-3903-4639-bd6e-0fe5d4e1bd5e,Desktop preventive service (180 days),calendar,180,,{},"[""blow out dust"", ""check fans"", ""update OS and firmware"", ""check disk SMART"", ""verify antivirus""]",t,2026-09-21 12:36:10.142818+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,
04058bcc-812e-40f5-8384-972fff3b9e23,6b10649a-5c67-48f5-b4b7-9040805a9348,Laptop preventive service (180 days),calendar,180,,{},"[""clean vents"", ""battery health check"", ""update OS"", ""check hinges""]",t,2026-09-21 12:36:10.142818+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,
80b2f287-0a60-46e2-ae81-8de9d2f005e1,95ef5f39-7726-40fc-a96e-a70dc1197538,Monitor inspection (365 days),calendar,365,,{},"[""check panel for dead pixels"", ""clean screen"", ""check cables""]",t,2026-09-21 12:36:10.142818+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,
290916d7-dcc1-41c9-9fab-7cca519863c1,dcef2060-f580-4ab7-a9eb-745c55d8e893,Printer service (120 days),calendar,120,,{},"[""clean rollers"", ""check toner"", ""calibrate"", ""test print""]",t,2026-09-21 12:36:10.142818+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,
f3891564-7486-40bb-b5f4-ff66d1abd9a9,4b27503f-1f69-4ff3-bbc6-f31d8394bbe6,Switch firmware and port audit (365 d),calendar,365,,{},"[""firmware check"", ""port error counters"", ""clean rack dust""]",t,2026-09-21 12:36:10.142818+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,
1f7fca17-cf11-4edf-903e-810916e893e5,9fc46e12-92c2-4613-b9b1-dd8845412769,Projector lamp check (1200 runtime h),runtime,,1200,{},"[""clean filter"", ""check lamp hours"", ""verify focus""]",t,2026-09-21 12:36:10.142818+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,
1ae5431d-91a0-4318-a326-5f9d7e1382b9,d0e25360-20be-40a4-b4d4-f150206a2e30,AC preventive service (90 days),calendar,90,,{},"[""clean filters"", ""check gas pressure"", ""clean drain"", ""measure delta T""]",t,2026-09-21 12:36:10.142818+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,
6386691e-4df4-48c2-b14a-a204894b334b,ff750985-39b3-490c-ae1d-fc28825b511f,UPS battery test (180 days),calendar,180,,{},"[""battery load test"", ""check terminals"", ""log runtime""]",t,2026-09-21 12:36:10.142818+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,
abc040ac-ae65-4628-bb16-729d22a187fd,f4f70d56-e321-4804-9b2d-7bd5ea0e9255,Oscilloscope calibration (365 days),calendar,365,,{},"[""self calibration"", ""probe compensation"", ""certificate update""]",t,2026-09-21 12:36:10.142818+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,
f50673e6-7c47-4f82-8e1f-566537c466d5,f0a14b69-c0ce-4372-ae3d-ae946d801d82,3D printer service (500 runtime hours),runtime,,500,{},"[""clean nozzle"", ""level bed"", ""check belts"", ""lubricate rails""]",t,2026-09-21 12:36:10.142818+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,
65188062-6dcd-4327-b015-2814e1be7461,f01bbdb0-5e6b-46f9-bc6c-97ce11922f55,Chair check when condition is reported poor,condition,,,"{""when"": {""condition_in"": [""poor"", ""failed""]}}","[""inspect gas lift"", ""inspect casters"", ""decide repair or replace""]",t,2026-09-21 12:36:10.142818+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,
bb6424ac-fe3a-41ee-9593-2484e4584c0e,d722453f-11da-442f-b41b-15b9deacbe80,Desk inspection (730 days),calendar,730,,{},"[""check stability"", ""tighten fixings"", ""inspect surface""]",t,2026-09-21 12:36:10.142818+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,
