id,parent_id,name,unit_type,is_active,created_at,updated_at
4ce1e772-9480-46bd-8382-38a8849b3423,,Badr University in Assiut,university,t,2026-09-21 12:36:10.142818+00,2026-09-21 12:36:10.142818+00
d52b79be-c2d1-4095-83c4-ba22b0b20ef9,4ce1e772-9480-46bd-8382-38a8849b3423,Main Campus,campus,t,2026-09-21 12:36:10.142818+00,2026-09-21 12:36:10.142818+00
6fae8d38-5d36-4971-bb0e-c2b1b6f880b1,d52b79be-c2d1-4095-83c4-ba22b0b20ef9,Faculty of Engineering,college,t,2026-09-21 12:36:10.142818+00,2026-09-21 12:36:10.142818+00
faf0affc-ea1d-41f0-97e6-c0f136acfb12,d52b79be-c2d1-4095-83c4-ba22b0b20ef9,Faculty of AI and Data Management,college,t,2026-09-21 12:36:10.142818+00,2026-09-21 12:36:10.142818+00
d82f0fd6-d71d-41ff-b68c-5f4f7a3f4ea0,d52b79be-c2d1-4095-83c4-ba22b0b20ef9,Finance and Procurement,unit,t,2026-09-21 12:36:10.142818+00,2026-09-21 12:36:10.142818+00
ff591628-5c79-4358-9a5b-d60833359337,d52b79be-c2d1-4095-83c4-ba22b0b20ef9,Facilities Management,unit,t,2026-09-21 12:36:10.142818+00,2026-09-21 12:36:10.142818+00
053cf8f8-7366-46a9-b0bb-3f4c8b856fa5,6fae8d38-5d36-4971-bb0e-c2b1b6f880b1,Computer Science Department,department,t,2026-09-21 12:36:10.142818+00,2026-09-21 12:36:10.142818+00
dc26f153-404e-47f8-8034-eb07783f1c9d,6fae8d38-5d36-4971-bb0e-c2b1b6f880b1,Electrical Engineering Department,department,t,2026-09-21 12:36:10.142818+00,2026-09-21 12:36:10.142818+00
8ef0ecc9-58c0-4c55-91e0-178f17ee7c58,faf0affc-ea1d-41f0-97e6-c0f136acfb12,Artificial Intelligence Department,department,t,2026-09-21 12:36:10.142818+00,2026-09-21 12:36:10.142818+00
6f3efb5d-afd8-49c9-8c40-31084252833a,faf0affc-ea1d-41f0-97e6-c0f136acfb12,Data Science Department,department,t,2026-09-21 12:36:10.142818+00,2026-09-21 12:36:10.142818+00
