id,asset_id,template_id,technician_user_id,priority,status,scheduled_at,started_at,completed_at,checklist_result,parts_cost,labor_cost,downtime_minutes,outcome,completion_notes,next_due_at,created_at,updated_at,created_by,updated_by
a74788f6-9186-47fb-9a43-a6bc03f957c4,31cb68c4-04b9-459f-a319-f54f64093777,ba34b363-aaaf-4973-9c54-304cdc093281,b0b54190-fcf5-486a-aa97-94a938211aec,medium,completed,2024-01-03 00:00:00+00,2024-01-10 12:00:00+00,2024-01-10 14:13:00+00,"{""functional_test"": ""pass"", ""visual_inspection"": ""pass""}",0.00,360.00,133,preventive service completed,"Scheduled preventive maintenance, no fault found.",2024-07-01 00:00:00+00,2024-01-03 00:00:00+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,60694a33-64df-4703-bb1f-20bc3948e683
a1a817b8-89c7-4d3a-a171-86ebc7f35475,31cb68c4-04b9-459f-a319-f54f64093777,ba34b363-aaaf-4973-9c54-304cdc093281,316fff45-4cbd-4c5f-aa69-23e361e9fdb0,medium,completed,2024-07-01 00:00:00+00,2024-07-06 13:00:00+00,2024-07-06 14:07:00+00,"{""functional_test"": ""pass"", ""visual_inspection"": ""pass""}",489.00,480.00,67,preventive service completed,"Scheduled preventive maintenance, no fault found.",2024-12-28 00:00:00+00,2024-07-01 00:00:00+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,60694a33-64df-4703-bb1f-20bc3948e683
0acf4c2b-4484-4785-8b93-635c5a115186,31cb68c4-04b9-459f-a319-f54f64093777,ba34b363-aaaf-4973-9c54-304cdc093281,074adb51-413b-4a95-a297-532a23028420,medium,completed,2024-12-28 00:00:00+00,2024-12-29 14:00:00+00,2024-12-29 16:12:00+00,"{""functional_test"": ""pass"", ""visual_inspection"": ""pass""}",0.00,120.00,132,preventive service completed,"Scheduled preventive maintenance, no fault found.",2025-06-26 00:00:00+00,2024-12-28 00:00:00+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,60694a33-64df-4703-bb1f-20bc3948e683
c7ea274a-7c8d-470b-9e23-6dd00b933f7f,31cb68c4-04b9-459f-a319-f54f64093777,ba34b363-aaaf-4973-9c54-304cdc093281,c2f8c8e5-af2d-4fa5-bef8-f8c299334c4a,medium,completed,2025-06-26 00:00:00+00,2025-06-28 11:00:00+00,2025-06-28 12:23:00+00,"{""functional_test"": ""pass"", ""visual_inspection"": ""pass""}",0.00,240.00,83,preventive service completed,"Scheduled preventive maintenance, no fault found.",2025-12-23 00:00:00+00,2025-06-26 00:00:00+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,60694a33-64df-4703-bb1f-20bc3948e683
939a08e0-efac-47eb-8663-6cbca7063501,31cb68c4-04b9-459f-a319-f54f64093777,ba34b363-aaaf-4973-9c54-304cdc093281,750c04a5-63c4-42c6-a7c4-b3aa1de4eebf,medium,completed,2025-12-23 00:00:00+00,2025-12-27 10:00:00+00,2025-12-27 10:32:00+00,"{""functional_test"": ""pass"", ""visual_inspection"": ""pass""}",0.00,120.00,32,preventive service completed,"Scheduled preventive maintenance, no fault found.",2026-06-21 00:00:00+00,2025-12-23 00:00:00+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,60694a33-64df-4703-bb1f-20bc3948e683
8a08ba21-a35e-4c4d-97e0-b64a76f1bfa7,31cb68c4-04b9-459f-a319-f54f64093777,ba34b363-aaaf-4973-9c54-304cdc093281,750c04a5-63c4-42c6-a7c4-b3aa1de4eebf,high,completed,2026-06-21 00:00:00+00,2026-06-23 08:00:00+00,2026-06-23 10:44:00+00,"{""functional_test"": ""pass"", ""visual_inspection"": ""pass""}",0.00,120.00,164,preventive service completed,"Scheduled preventive maintenance, no fault found.",2026-12-18 00:00:00+00,2026-06-21 00:00:00+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,60694a33-64df-4703-bb1f-20bc3948e683
edd3b814-34ba-41da-aa5e-e7ac57afcfb8,7db9993a-c311-4055-9ee8-5ed5c9175837,ba34b363-aaaf-4973-9c54-304cdc093281,089d3e35-dd8e-48ab-991e-a8f94ccfd969,medium,completed,2024-12-24 00:00:00+00,2024-12-29 09:00:00+00,2024-12-29 09:33:00+00,"{""functional_test"": ""pass"", ""visual_inspection"": ""pass""}",0.00,240.00,33,preventive service completed,"Scheduled preventive maintenance, no fault found.",2025-06-22 00:00:00+00,2024-12-24 00:00:00+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,60694a33-64df-4703-bb1f-20bc3948e683
327cdf90-a46c-4cc4-a5ea-5f25ff3794ee,7db9993a-c311-4055-9ee8-5ed5c9175837,ba34b363-aaaf-4973-9c54-304cdc093281,b0b54190-fcf5-486a-aa97-94a938211aec,low,completed,2025-06-22 00:00:00+00,2025-06-30 08:00:00+00,2025-06-30 08:46:00+00,"{""functional_test"": ""pass"", ""visual_inspection"": ""pass""}",0.00,240.00,46,preventive service completed,"Scheduled preventive maintenance, no fault found.",2025-12-19 00:00:00+00,2025-06-22 00:00:00+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,60694a33-64df-4703-bb1f-20bc3948e683
f7ed9c26-421c-4ddb-bbab-06538ffeb55f,7db9993a-c311-4055-9ee8-5ed5c9175837,ba34b363-aaaf-4973-9c54-304cdc093281,089d3e35-dd8e-48ab-991e-a8f94ccfd969,medium,completed,2025-12-19 00:00:00+00,2025-12-26 12:00:00+00,2025-12-26 14:11:00+00,"{""functional_test"": ""pass"", ""visual_inspection"": ""pass""}",0.00,240.00,131,preventive service completed,"Scheduled preventive maintenance, no fault found.",2026-06-17 00:00:00+00,2025-12-19 00:00:00+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,60694a33-64df-4703-bb1f-20bc3948e683
84e7baee-de30-41fd-8ab6-653940a68b12,7db9993a-c311-4055-9ee8-5ed5c9175837,ba34b363-aaaf-4973-9c54-304cdc093281,316fff45-4cbd-4c5f-aa69-23e361e9fdb0,low,completed,2026-06-17 00:00:00+00,2026-06-18 12:00:00+00,2026-06-18 13:26:00+00,"{""functional_test"": ""pass"", ""visual_inspection"": ""pass""}",0.00,480.00,86,preventive service completed,"Scheduled preventive maintenance, no fault found.",2026-12-14 00:00:00+00,2026-06-17 00:00:00+00,2026-09-21 12:36:10.142818+00,60694a33-64df-4703-bb1f-20bc3948e683,60694a33-64df-4703-bb1f-20bc3948e683
