asset_tag,snapshot_date,category_code,category_group_code,useful_life_months,age_days,age_months,purchase_cost,condition_at_snapshot,warranty_active,prior_work_orders_count,prior_failures_count,prior_maintenance_cost_total,avg_repair_hours_so_far,maintenance_last_90d_count,building,department,location_type,failure_within_30d,days_to_next_failure,missing_days_to_failure,failure_status,age_years,life_used_percentage,total_maintenance_events,maintenance_cost_per_work_order,failure_history_flag,high_maintenance_flag,warranty_status,snapshot_year,snapshot_month,snapshot_month_name,age_group,cost_group
AST-FAC-AC-00017,2024-12-30,FAC-AC,FAC,96,60,2.0,21000.0,unknown,f,1,0,480.0,1.02,1,Engineering Building,Electrical Engineering Department,office,0,,1,No Failure,0.16427104722792607,2.083333333333333,2,480.0,0,1,Inactive,2024,12,December,0-1 Years,High Cost
AST-FAC-AC-00017,2025-01-29,FAC-AC,FAC,96,90,3.0,21000.0,unknown,f,1,0,480.0,1.02,1,Engineering Building,Electrical Engineering Department,office,0,,1,No Failure,0.2464065708418891,3.125,2,480.0,0,1,Inactive,2025,1,January,0-1 Years,High Cost
AST-FAC-AC-00017,2025-02-28,FAC-AC,FAC,96,120,3.9,21000.0,unknown,f,2,0,480.0,1.02,2,Engineering Building,Electrical Engineering Department,office,0,,1,No Failure,0.32854209445585214,4.0625,4,240.0,0,1,Inactive,2025,2,February,0-1 Years,High Cost
AST-FAC-AC-00017,2025-03-30,FAC-AC,FAC,96,150,4.9,21000.0,unknown,f,2,0,600.0,1.23,1,Engineering Building,Electrical Engineering Department,office,1,15.0,0,Failure,0.4106776180698152,5.104166666666667,3,300.0,0,1,Inactive,2025,3,March,0-1 Years,High Cost
AST-FAC-AC-00017,2025-04-29,FAC-AC,FAC,96,180,5.9,21000.0,unknown,f,3,1,3898.0,10.56,2,Engineering Building,Electrical Engineering Department,office,0,,1,No Failure,0.4928131416837782,6.145833333333334,5,1299.3333333333333,1,1,Inactive,2025,4,April,0-1 Years,High Cost
AST-FAC-AC-00017,2025-05-29,FAC-AC,FAC,96,210,6.9,21000.0,unknown,f,4,1,4388.0,8.23,3,Engineering Building,Electrical Engineering Department,office,0,,1,No Failure,0.5749486652977412,7.187500000000001,7,1097.0,1,1,Inactive,2025,5,May,0-1 Years,High Cost
AST-FAC-AC-00017,2025-06-28,FAC-AC,FAC,96,240,7.9,21000.0,unknown,f,4,1,4388.0,8.23,2,Engineering Building,Electrical Engineering Department,office,0,,1,No Failure,0.6570841889117043,8.229166666666666,6,1097.0,1,1,Inactive,2025,6,June,0-1 Years,High Cost
AST-FAC-AC-00017,2025-07-28,FAC-AC,FAC,96,270,8.9,21000.0,unknown,f,4,1,4388.0,8.23,1,Engineering Building,Electrical Engineering Department,office,0,,1,No Failure,0.7392197125256673,9.270833333333334,5,1097.0,1,1,Inactive,2025,7,July,0-1 Years,High Cost
AST-FAC-AC-00017,2025-08-27,FAC-AC,FAC,96,300,9.9,21000.0,unknown,f,5,1,4508.0,7.12,2,Engineering Building,Electrical Engineering Department,office,0,,1,No Failure,0.8213552361396304,10.3125,7,901.6,1,1,Inactive,2025,8,August,0-1 Years,High Cost
AST-FAC-AC-00017,2025-09-26,FAC-AC,FAC,96,330,10.8,21000.0,unknown,f,5,1,4508.0,7.12,1,Engineering Building,Electrical Engineering Department,office,0,,1,No Failure,0.9034907597535934,11.25,6,901.6,1,1,Inactive,2025,9,September,0-1 Years,High Cost
AST-FAC-AC-00017,2025-10-26,FAC-AC,FAC,96,360,11.8,21000.0,unknown,f,5,1,4508.0,7.12,1,Engineering Building,Electrical Engineering Department,office,0,,1,No Failure,0.9856262833675564,12.291666666666668,6,901.6,1,1,Inactive,2025,10,October,0-1 Years,High Cost
AST-FAC-AC-00017,2025-11-25,FAC-AC,FAC,96,390,12.8,21000.0,unknown,f,6,1,5223.0,6.11,2,Engineering Building,Electrical Engineering Department,office,0,,1,No Failure,1.0677618069815196,13.333333333333334,8,870.5,1,1,Inactive,2025,11,November,1-3 Years,High Cost
AST-FAC-AC-00017,2025-12-25,FAC-AC,FAC,96,420,13.8,21000.0,unknown,f,6,1,5223.0,6.11,1,Engineering Building,Electrical Engineering Department,office,0,,1,No Failure,1.1498973305954825,14.375000000000002,7,870.5,1,1,Inactive,2025,12,December,1-3 Years,High Cost
AST-FAC-AC-00017,2026-01-24,FAC-AC,FAC,96,450,14.8,21000.0,unknown,f,6,1,5223.0,6.11,1,Engineering Building,Electrical Engineering Department,office,0,,1,No Failure,1.2320328542094456,15.416666666666668,7,870.5,1,1,Inactive,2026,1,January,1-3 Years,High Cost
AST-FAC-AC-00017,2026-02-23,FAC-AC,FAC,96,480,15.8,21000.0,unknown,f,7,1,5223.0,6.11,2,Engineering Building,Electrical Engineering Department,office,0,,1,No Failure,1.3141683778234086,16.458333333333332,9,746.1428571428571,1,1,Inactive,2026,2,February,1-3 Years,High Cost
AST-FAC-AC-00017,2026-03-25,FAC-AC,FAC,96,510,16.8,21000.0,unknown,f,7,1,5463.0,5.63,1,Engineering Building,Electrical Engineering Department,office,0,,1,No Failure,1.3963039014373717,17.5,8,780.4285714285714,1,1,Inactive,2026,3,March,1-3 Years,High Cost
AST-FAC-AC-00017,2026-04-24,FAC-AC,FAC,96,540,17.7,21000.0,unknown,f,7,1,5463.0,5.63,1,Engineering Building,Electrical Engineering Department,office,1,16.0,0,Failure,1.4784394250513346,18.4375,8,780.4285714285714,1,1,Inactive,2026,4,April,1-3 Years,High Cost
AST-FAC-AC-00017,2026-05-24,FAC-AC,FAC,96,570,18.7,21000.0,unknown,f,9,2,7065.0,6.57,3,Engineering Building,Electrical Engineering Department,office,0,,1,No Failure,1.5605749486652978,19.479166666666668,12,785.0,1,1,Inactive,2026,5,May,1-3 Years,High Cost
AST-FAC-AC-00017,2026-06-23,FAC-AC,FAC,96,600,19.7,21000.0,unknown,f,9,2,7065.0,6.57,2,Engineering Building,Electrical Engineering Department,office,1,27.0,0,Failure,1.6427104722792607,20.520833333333332,11,785.0,1,1,Inactive,2026,6,June,1-3 Years,High Cost
AST-FAC-AC-00017,2026-07-23,FAC-AC,FAC,96,630,20.7,21000.0,unknown,f,10,3,9210.0,10.2,3,Engineering Building,Electrical Engineering Department,office,0,,1,No Failure,1.7248459958932238,21.5625,13,921.0,1,1,Inactive,2026,7,July,1-3 Years,High Cost
