asset_tag,snapshot_date,category_code,category_group_code,useful_life_months,age_days,age_months,purchase_cost,condition_at_snapshot,warranty_active,prior_work_orders_count,prior_failures_count,prior_maintenance_cost_total,avg_repair_hours_so_far,maintenance_last_90d_count,building,department,location_type,failure_within_30d,days_to_next_failure
AST-FAC-AC-00017,2024-12-30,FAC-AC,FAC,96,60,2.0,21000.00,unknown,f,1,0,480.00,1.02,1,Engineering Building,Electrical Engineering Department,office,0,
AST-FAC-AC-00017,2025-01-29,FAC-AC,FAC,96,90,3.0,21000.00,unknown,f,1,0,480.00,1.02,1,Engineering Building,Electrical Engineering Department,office,0,
AST-FAC-AC-00017,2025-02-28,FAC-AC,FAC,96,120,3.9,21000.00,unknown,f,2,0,480.00,1.02,2,Engineering Building,Electrical Engineering Department,office,0,
AST-FAC-AC-00017,2025-03-30,FAC-AC,FAC,96,150,4.9,21000.00,unknown,f,2,0,600.00,1.23,1,Engineering Building,Electrical Engineering Department,office,1,15
AST-FAC-AC-00017,2025-04-29,FAC-AC,FAC,96,180,5.9,21000.00,unknown,f,3,1,3898.00,10.56,2,Engineering Building,Electrical Engineering Department,office,0,
AST-FAC-AC-00017,2025-05-29,FAC-AC,FAC,96,210,6.9,21000.00,unknown,f,4,1,4388.00,8.23,3,Engineering Building,Electrical Engineering Department,office,0,
AST-FAC-AC-00017,2025-06-28,FAC-AC,FAC,96,240,7.9,21000.00,unknown,f,4,1,4388.00,8.23,2,Engineering Building,Electrical Engineering Department,office,0,
AST-FAC-AC-00017,2025-07-28,FAC-AC,FAC,96,270,8.9,21000.00,unknown,f,4,1,4388.00,8.23,1,Engineering Building,Electrical Engineering Department,office,0,
AST-FAC-AC-00017,2025-08-27,FAC-AC,FAC,96,300,9.9,21000.00,unknown,f,5,1,4508.00,7.12,2,Engineering Building,Electrical Engineering Department,office,0,
AST-FAC-AC-00017,2025-09-26,FAC-AC,FAC,96,330,10.8,21000.00,unknown,f,5,1,4508.00,7.12,1,Engineering Building,Electrical Engineering Department,office,0,
AST-FAC-AC-00017,2025-10-26,FAC-AC,FAC,96,360,11.8,21000.00,unknown,f,5,1,4508.00,7.12,1,Engineering Building,Electrical Engineering Department,office,0,
AST-FAC-AC-00017,2025-11-25,FAC-AC,FAC,96,390,12.8,21000.00,unknown,f,6,1,5223.00,6.11,2,Engineering Building,Electrical Engineering Department,office,0,
